1708 44496
1.94877 0.423594 1.0051
1.94978 0.406515 0.92199
1.95139 0.34745 0.985659
1.92859 0.367028 1.06844
1.92685 0.344441 0.858807
1.92712 0.28076 0.919581
1.90554 0.282028 1.07061
1.89908 0.452611 1.04317
1.90085 0.458927 0.9437
1.89687 0.433996 0.866562
1.88023 0.257324 0.832755
1.89148 0.234614 0.986526
1.87612 0.39497 1.10629
1.8875 0.390111 1.01383
1.8875 0.390109 0.913437
1.86774 0.332411 0.798914
1.86557 0.319453 1.13032
1.86211 0.2909 0.938831
1.83878 0.237301 1.11579
1.84824 0.207314 0.892533
1.83789 0.315506 1.06344
1.82349 0.186289 1.03211
1.77679 0.580982 0.961453
1.79523 0.500961 1.02859
1.79472 0.502789 0.895518
1.812 0.438912 0.963636
1.80146 0.429156 0.833222
1.8125 0.3409 0.863437
1.80724 0.267842 0.799652
1.79301 0.146411 0.939815
1.7504 0.78224 0.986018
1.75145 0.783529 0.889019
1.74969 0.710254 1.07835
1.7528 0.71308 0.819407
1.75629 0.690506 0.988437
1.74958 0.615506 1.10094
1.75831 0.614215 0.864889
1.75332 0.541287 0.801914
1.77722 0.430089 1.09788
1.78214 0.332966 1.15312
1.7871 0.240111 0.988437
1.77642 0.182977 0.823948
1.72754 0.80575 1.07949
1.73 0.805891 0.799399
1.7267 0.711692 0.727844
1.76289 0.365506 1.01383
1.75307 0.360506 0.781723
1.76289 0.265506 1.11304
1.76289 0.240112 0.888043
1.75274 0.207887 1.15082
1.74822 0.146061 1.07534
1.70302 0.900788 1.03259
1.70666 0.900907 0.913437
1.70482 0.735191 1.17131
1.71834 0.617136 0.747676
1.70845 0.566562 1.17294
1.73711 0.515112 0.963831
1.70565 0.517119 0.708396
1.73711 0.440112 0.888043
1.7269 0.265706 0.747836
1.72381 0.121163 0.870371
1.68276 0.924218 0.820634
1.68211 0.877814 1.12536
1.6812 0.85514 0.73051
1.7125 0.740901 0.938832
1.68545 0.666439 0.65896
1.7125 0.640111 1.03804
1.7125 0.615901 0.938832
1.70962 0.541021 1.0871
1.7125 0.540903 0.863437
1.68234 0.466101 1.21721
1.70716 0.465506 0.791749
1.68595 0.421196 0.703609
1.71139 0.365202 1.11091
1.71289 0.340901 0.913437
1.7128 0.290704 0.813734
1.71289 0.190112 1.03804
1.71289 0.1659 0.93883
1.70536 0.184553 0.769588
1.69839 0.0995784 0.984203
1.65424 0.97165 1.07933
1.6606 0.973782 0.987403
1.68558 0.839296 0.988134
1.68589 0.839402 0.863638
1.65779 0.80567 1.2161
1.66882 0.757565 0.67829
1.68681 0.740802 1.08864
1.6875 0.740898 0.838045
1.66049 0.689776 1.243
1.68527 0.639899 1.13722
1.6875 0.640114 0.838045
1.6875 0.440114 1.03805
1.66319 0.371713 1.21844
1.6875 0.290898 1.03805
1.67975 0.268903 1.16955
1.6875 0.190114 0.838045
1.63317 1.01826 0.890012
1.63284 0.946226 0.72975
1.6621 0.690506 0.738832
1.63941 0.589811 1.26535
1.63732 0.59452 0.610517
1.63917 0.492839 0.633437
1.66211 0.465112 1.13883
1.66211 0.390112 0.838043
1.63378 0.374597 0.63823
1.65703 0.342437 0.742944
1.65257 0.181682 1.16013
1.65719 0.13092 1.08118
1.65269 0.118583 0.809014
1.61058 1.04281 1.03459
1.61133 1.01844 0.799179
1.61411 0.951756 1.1704
1.63597 0.938975 0.913437
1.63789 0.890114 1.06344
1.61558 0.878968 0.66363
1.6379 0.815506 1.13883
1.6379 0.815506 0.763042
1.6135 0.757106 1.28624
1.62213 0.708674 0.609089
1.6379 0.690506 0.988437
1.63789 0.590112 0.763043
1.6379 0.565506 1.01383
1.61657 0.493413 1.28398
1.63789 0.4909 0.93883
1.63789 0.4909 0.713043
1.63789 0.390112 0.963831
1.63789 0.265506 0.938829
1.61733 0.278006 0.681104
1.63677 0.242284 0.767307
1.63658 0.118067 0.888949
1.58432 1.04262 1.12424
1.6115 0.940206 0.813737
1.59214 0.877292 1.24129
1.61211 0.7909 1.03804
1.61211 0.790902 0.913437
1.61211 0.7409 1.21383
1.61211 0.690506 0.888042
1.59074 0.665146 1.31344
1.61211 0.640112 1.21383
1.61211 0.640112 0.663831
1.61211 0.590111 0.913437
1.61211 0.565506 1.13883
1.61211 0.515112 0.838043
1.59432 0.393478 1.28651
1.61211 0.390112 1.08883
1.59126 0.303288 1.26306
1.61211 0.2909 1.11304
1.61211 0.2159 1.03804
1.61139 0.116716 0.988235
1.56479 1.09279 0.964141
1.56388 1.08854 0.868161
1.58598 1.01358 0.963842
1.5729 0.807897 0.609089
1.5879 0.765111 0.688437
1.58789 0.715112 1.11304
1.57219 0.638318 0.56125
1.56444 0.570545 1.33611
1.58789 0.5409 1.23804
1.5645 0.541506 0.542037
1.58789 0.490898 1.06344
1.58789 0.440112 1.21383
1.57278 0.441895 0.578576
1.58789 0.415506 0.763045
1.58789 0.3409 0.888043
1.58789 0.315506 1.01383
1.56387 0.322527 0.58193
1.5879 0.215901 0.863437
1.56313 0.203111 1.23718
1.57568 0.180051 0.730255
1.57239 0.115879 1.14609
1.57992 0.0763665 1.05422
1.58135 0.0763665 0.847658
1.53871 1.11127 1.05739
1.54055 1.06368 0.754697
1.54324 0.997268 1.21057
1.5625 1.01511 0.863437
1.54521 0.996333 0.687685
1.5625 0.990898 1.08883
1.5625 0.9159 0.988437
1.5625 0.915898 0.713045
1.5625 0.890114 1.16305
1.5625 0.865506 0.863437
1.54351 0.82539 1.31189
1.5625 0.765112 0.813437
1.5625 0.665898 0.788829
1.5625 0.640114 1.03805
1.5625 0.565506 0.613831
1.5625 0.440114 0.888045
1.5625 0.440114 0.663829
1.5625 0.340898 1.21383
1.5625 0.3409 0.688437
1.5625 0.315506 0.788828
1.5618 0.2163 1.16235
1.54125 0.230818 0.622968
1.5625 0.0706383 0.939099
1.5285 0.905078 0.632437
1.5371 0.815506 1.23804
1.51964 0.735744 1.35669
1.5371 0.740901 0.988437
1.5267 0.734824 0.558324
1.5365 0.715107 1.28714
1.53711 0.590112 0.713043
1.5371 0.540901 0.988437
1.53199 0.492158 1.30628
1.5371 0.440111 0.988437
1.5139 0.369106 0.517637
1.51754 0.347222 1.33526
1.53711 0.265506 0.938829
1.53711 0.1409 1.08883
1.5371 0.140901 0.913437
1.5369 0.141402 0.813935
1.4969 1.13933 0.91545
1.49667 1.08946 1.16531
1.51289 1.0659 1.01383
1.51289 0.9909 0.763043
1.50289 0.927365 1.2652
1.51289 0.865506 1.06344
1.51289 0.840112 0.763043
1.51289 0.7909 1.13883
1.51289 0.715112 0.888043
1.51289 0.715112 0.638043
1.51289 0.690506 1.18844
1.49661 0.635149 1.38487
1.51289 0.615898 1.31344
1.5129 0.615901 0.913437
1.49246 0.612407 0.495462
1.51289 0.590114 1.18844
1.5129 0.565506 1.08883
1.5129 0.565506 0.813437
1.49004 0.522342 1.3857
1.51289 0.4909 1.16304
1.51289 0.4909 0.738831
1.49336 0.492068 0.49371
1.51289 0.415506 1.08883
1.51289 0.315506 1.11304
1.50645 0.271204 1.27925
1.49632 0.27448 0.534271
1.51289 0.240112 1.03804
1.51289 0.240112 0.738831
1.48883 0.14847 1.28158
1.48963 0.135364 0.674253
1.4896 0.0940773 1.22772
1.47109 1.15921 1.01077
1.4713 1.13804 0.821183
1.47004 1.06486 0.689084
1.48711 1.0659 0.913437
1.48701 1.01491 1.16275
1.48711 0.965506 0.938832
1.48711 0.865506 0.938832
1.47687 0.85226 0.568848
1.48711 0.840112 0.663831
1.48711 0.7409 0.738831
1.48711 0.690506 1.08883
1.48711 0.640111 0.563437
1.48711 0.515111 0.563437
1.48711 0.415506 1.26383
