1580 41856
2.42031 0.935421 0.788059
2.3838 0.926335 0.748881
2.34583 0.915594 0.806288
2.31115 0.890024 0.772279
2.27256 0.904656 0.782725
2.25326 0.852844 0.806008
2.24386 0.830404 0.745543
2.22591 0.760392 0.799848
2.20597 0.73124 0.736919
2.1824 0.679095 0.835981
2.18138 0.633399 0.766894
2.21516 0.852557 0.772203
2.16436 0.647621 0.701856
2.15395 0.580039 0.845177
2.15126 0.559346 0.70797
2.1866 0.786195 0.812595
2.13671 0.510647 0.788364
2.1689 0.761883 0.752421
2.10788 0.486248 0.867773
2.10656 0.465672 0.703761
2.14133 0.684362 0.823492
2.13506 0.66244 0.745719
2.08676 0.420965 0.810918
2.09905 0.582059 0.863674
2.09933 0.582117 0.690957
2.09315 0.569266 0.789404
2.07587 0.497503 0.655958
2.06289 0.474089 0.764227
2.04353 0.418233 0.887251
2.04353 0.418233 0.666992
2.04097 0.375213 0.744001
2.0375 0.490432 0.902121
2.01604 0.355733 0.829621
2.02065 0.532364 0.719648
2.01636 0.515165 0.835757
1.99623 0.48321 0.651886
1.99576 0.425805 0.840172
1.99576 0.425805 0.713189
1.98086 0.353023 0.682542
1.97246 0.425543 0.911231
1.9606 0.348396 0.895056
1.97868 0.338821 0.764254
1.9648 0.498496 0.764128
1.94815 0.40203 0.631751
1.91754 0.521633 0.885674
1.88183 0.303865 0.590653
1.89299 0.2568 0.864622
1.89804 0.254302 0.714622
1.86058 0.594569 0.815476
1.8597 0.592371 0.714837
1.85877 0.545975 0.617472
1.85439 0.496194 0.986551
1.85144 0.469616 0.545153
1.85254 0.396028 1.0319
1.85318 0.372301 0.521765
1.85437 0.305832 1.00688
1.82877 0.61238 0.932478
1.82651 0.329225 1.09954
1.8319 0.285491 0.501562
1.83136 0.221729 0.958901
1.83598 0.204407 0.790569
1.83496 0.217843 0.641965
1.80475 0.709755 0.836133
1.80449 0.70964 0.717356
1.80657 0.662076 0.621844
1.8063 0.588581 1.02891
1.80981 0.590423 0.548514
1.80396 0.514067 1.0992
1.80839 0.515733 0.476586
1.80815 0.419411 1.12422
1.81297 0.421046 0.450403
1.80961 0.243329 1.05366
1.7813 0.711138 0.956914
1.80413 0.555995 0.892412
1.80044 0.559157 0.763616
1.79681 0.507462 0.659967
1.7991 0.452447 0.948255
1.78217 0.448817 0.838955
1.78237 0.424483 0.740284
1.80333 0.425793 0.580693
1.80475 0.347371 0.972367
1.7827 0.349318 0.865449
1.78672 0.34762 0.661205
1.7848 0.351282 0.382787
1.78237 0.324483 0.763959
1.80929 0.322347 0.560134
1.7802 0.265191 1.1467
1.80393 0.244084 0.892438
1.77991 0.265331 0.406809
1.79466 0.213665 0.546785
1.79289 0.170888 0.86119
1.79383 0.169895 0.717469
1.75397 0.809205 0.883669
1.75697 0.811269 0.764086
1.75836 0.787586 0.669794
1.7539 0.759883 0.573822
1.75667 0.687265 1.05316
1.7569 0.687356 0.501748
1.78528 0.648173 0.789924
1.78589 0.624182 0.689822
1.75984 0.589377 0.430224
1.76181 0.492886 0.383024
1.75824 0.466538 1.19388
1.7862 0.473786 1.03952
1.7573 0.373283 1.21762
1.78711 0.374483 1.06501
1.78095 0.245335 0.687984
1.76565 0.172735 1.0071
1.76418 0.149856 0.619472
1.7301 0.810083 0.980021
1.7613 0.674182 0.889019
1.73604 0.613717 1.1471
1.7625 0.599087 0.964621
1.7625 0.549878 0.589226
1.7625 0.474088 0.514226
1.73494 0.419365 0.31344
1.7625 0.374483 0.490015
1.73396 0.307817 0.314413
1.7625 0.274483 1.01423
1.76005 0.223769 0.790029
1.74184 0.195664 1.10368
1.74184 0.195664 0.450559
1.74495 0.119825 0.789621
1.7138 0.907925 0.788972
1.71005 0.894581 0.8857
1.71179 0.895002 0.692216
1.7087 0.860534 0.597593
1.7366 0.749283 0.814621
1.7375 0.724088 0.714226
1.7366 0.698981 0.615324
1.7364 0.59868 1.06422
1.71008 0.564604 0.338009
1.73395 0.522705 1.13648
1.7375 0.424483 0.665015
1.7361 0.324783 1.16362
1.7117 0.307483 1.26382
1.7375 0.274483 0.514228
1.71409 0.220912 1.19676
1.7375 0.199086 0.939621
1.71409 0.220912 0.357479
1.72138 0.117974 0.911959
1.71667 0.0973998 0.692399
1.68509 0.835409 0.504807
1.68504 0.810278 1.07352
1.68452 0.759801 0.433669
1.7122 0.749683 0.939522
1.68803 0.712249 1.14671
1.69536 0.665769 0.401336
1.7125 0.624879 0.540017
